term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
leben,521,0.0216,0.0704,0.0011,0.0448,0.0709,0.0072,0.0277,0.0391,0.0529,0.0283,0.0417,0.0002,0.0264,0.0123,0.0001
mensch,240,0.0001,0.0321,0.0011,0.0206,0.0196,0.0001,0.0001,0.0087,0.0001,0.0001,0.0011,0.0124,0.0003,0.0255,0.0001
ethik,199,0.0001,0.0256,0.0011,0.0161,0.0109,0.014,0.0001,0.0341,0.0001,0.0001,0.0001,0.018,0.0309,0.0135,0.0002
moral,168,0.0001,0.0086,0.0011,0.0075,0.0118,0.0001,0.0379,0.0001,0.0001,0.0001,0.0001,0.0001,0.0075,0.0322,0.0145
glücksvorstellung,144,0.0001,0.0082,0.0011,0.0001,0.0304,0.0001,0.0001,0.0166,0.0001,0.0224,0.0001,0.0296,0.0001,0.0001,0.0001
vorstellung,136,0.0001,0.008,0.0011,0.0041,0.0229,0.0002,0.0001,0.0001,0.0098,0.014,0.0001,0.0036,0.0199,0.0035,0.0001
begriff,116,0.0156,0.0001,0.0011,0.0059,0.0042,0.0273,0.0081,0.0001,0.0001,0.0001,0.0475,0.0001,0.0001,0.0017,0.0113
frage,116,0.0036,0.0168,0.0011,0.0001,0.0107,0.0001,0.0074,0.0001,0.0001,0.0133,0.0001,0.0001,0.0062,0.0,0.0001
individuell,105,0.0001,0.0139,0.0011,0.0001,0.0088,0.0001,0.0067,0.0001,0.0001,0.0162,0.0001,0.0001,0.0045,0.0039,0.0066
ziel,95,0.0001,0.0129,0.0011,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0344,0.04,0.0001,0.0,0.0001
sozial,91,0.0076,0.0177,0.0011,0.0,0.0011,0.0095,0.017,0.0001,0.0001,0.0001,0.0001,0.014,0.0001,0.0027,0.0001
verantwortung,90,0.0001,0.0074,0.0011,0.0,0.0025,0.0001,0.0001,0.0001,0.0001,0.0057,0.0001,0.0001,0.0076,0.0197,0.0001
konsum,86,0.0001,0.0056,0.0011,0.0,0.0045,0.0001,0.0066,0.0001,0.0568,0.0001,0.0001,0.0001,0.0061,0.0,0.0001
moralisch,84,0.0001,0.0046,0.0011,0.0115,0.0174,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0205,0.0,0.0286
verschieden,83,0.009,0.001,0.0011,0.0,0.0098,0.0001,0.0051,0.0001,0.0001,0.0127,0.0001,0.0191,0.0004,0.0015,0.0165
freiheit,81,0.0001,0.0069,0.0011,0.0045,0.0093,0.0001,0.0001,0.0001,0.0001,0.0062,0.0001,0.0001,0.0004,0.0053,0.0568
gesellschaft,81,0.0132,0.0117,0.0011,0.0097,0.0,0.003,0.0063,0.0001,0.0001,0.0001,0.0001,0.0068,0.0064,0.0095,0.0001
wert,81,0.0001,0.0083,0.0011,0.0001,0.0,0.0001,0.0001,0.0001,0.016,0.0026,0.0001,0.0001,0.0104,0.0166,0.0002
sinn,77,0.001,0.0203,0.0011,0.0,0.0,0.0001,0.0001,0.0027,0.0001,0.0069,0.0001,0.0018,0.0012,0.0,0.0001
ethisch,76,0.0001,0.0027,0.0011,0.0,0.014,0.0001,0.0347,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0008,0.0071
selbstverwirklichung,74,0.0216,0.0046,0.0011,0.004,0.0137,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0012,0.0,0.0001
wahrnehmen,73,0.0001,0.0,0.0011,0.0,0.0033,0.0001,0.0026,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0267,0.0001
handeln,73,0.0001,0.0037,0.0011,0.0001,0.0055,0.0001,0.0001,0.0199,0.0001,0.0001,0.0001,0.0001,0.0354,0.0,0.0058
menschlich,70,0.018,0.0051,0.0011,0.0001,0.009,0.0029,0.0001,0.0001,0.0001,0.0001,0.0001,0.0129,0.0013,0.0,0.0169
welt,70,0.0001,0.0,0.0011,0.0001,0.0,0.0118,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.029,0.0001
zusammenhang,70,0.0001,0.0158,0.0011,0.0,0.0041,0.0001,0.0001,0.0001,0.0001,0.0001,0.0022,0.0002,0.0001,0.0,0.0105
handlung,68,0.0103,0.001,0.0011,0.0,0.0,0.0001,0.0302,0.0001,0.0001,0.0013,0.0001,0.0001,0.0001,0.0,0.0151
