rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,verstehen,23,10.804211813581123,0.04096897629499948
2,beziehung,12,10.787285602677125,0.04090479303524347
3,wert,26,10.301391832662398,0.03906231061365689
4,lernen,49,10.243104665550353,0.03884128888537919
5,grundgesetz,9,10.114444732485724,0.03835341750347837
6,befähig,9,10.11281767334274,0.03834724778479739
7,vernetzt,11,10.112233279896104,0.038345031797025655
8,norm,13,10.111814244802934,0.038343442839025285
9,leiten,9,10.11113292841074,0.03834085932478076
10,zunehmend,13,10.110111314894915,0.0383369854225809
11,aufgabe,25,10.10987304173105,0.038336081903863325
12,zugehörigkeit,9,10.109345051457554,0.03833407979381846
13,gesellschaftswissenschaftlich,9,10.109321473682389,0.038333990388193274
14,denken,15,10.109170526825945,0.038333418006025084
15,zugang,11,10.108935482762572,0.038332526731878785
16,tolerieren,10,10.108681187552284,0.03833156245844339
17,überzeugung,9,10.108653542570067,0.038331457630193015
18,gleichermaßen,10,9.821436198014913,0.03724234527441696
19,kulturell,70,9.432895160600326,0.035769019054408636
20,sinn,38,9.424682313329878,0.035737876389775346
