topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,1,0.1177,20,20.8115
2,4,0.102,20,19.7256
3,14,0.0999,17,15.1871
4,16,0.0935,16,17.2467
5,7,0.0785,12,15.8617
6,13,0.0647,10,12.8893
7,10,0.0577,10,22.6156
8,3,0.0538,7,15.7148
9,17,0.0429,6,22.6569
10,15,0.0413,5,10.5205
11,20,0.0405,7,22.9964
12,8,0.0364,5,23.607
13,19,0.0353,6,22.4446
14,9,0.0334,6,26.0886
15,5,0.0332,5,48.0188
16,6,0.0284,4,18.8787
17,18,0.0202,3,11.2724
18,11,0.011,1,24.9629
19,12,0.0048,0,1.3203
20,2,0.0048,0,1.1536
