topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,total
1,176,4,0,0,180
2,198,3,0,0,201
3,145,0,0,0,145
4,98,10,0,0,108
5,120,5,0,0,125
6,183,1,0,0,184
7,115,11,14,2,142
