term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
situation,109,0.0001,0.0278,0.0105,0.0265,0.0029,0.0002,0.0002,0.0057,0.0356,0.0377
mensch,102,0.0056,0.0478,0.0308,0.0039,0.0001,0.0002,0.0376,0.0124,0.0001,0.0233
bedürfnis,87,0.0611,0.0004,0.0002,0.0002,0.0139,0.0002,0.0002,0.0003,0.0001,0.0009
gedanke,78,0.0001,0.0021,0.0002,0.0002,0.0002,0.0044,0.0002,0.0162,0.0609,0.0002
perspektive,69,0.0001,0.0622,0.005,0.0081,0.0123,0.0002,0.0002,0.0003,0.0106,0.0002
vernunft,66,0.0105,0.0095,0.0005,0.0189,0.0001,0.004,0.0489,0.0003,0.0003,0.0002
sozial,64,0.0405,0.0046,0.0052,0.0002,0.0027,0.0045,0.0066,0.0003,0.0001,0.0002
möglichkeit,61,0.0134,0.0039,0.0043,0.0113,0.0002,0.004,0.0002,0.0003,0.0165,0.019
leben,55,0.024,0.0029,0.0026,0.0002,0.0036,0.0047,0.0102,0.0003,0.0003,0.0124
verschieden,54,0.0017,0.0027,0.0181,0.0041,0.0096,0.0069,0.0002,0.0003,0.0257,0.0002
ethik,52,0.0057,0.0117,0.0254,0.0002,0.0001,0.0004,0.0079,0.0003,0.0014,0.0219
ethisch,50,0.0151,0.0059,0.0005,0.0147,0.0112,0.0002,0.0129,0.0003,0.0002,0.0002
frage,50,0.0026,0.0078,0.0002,0.0108,0.0216,0.0002,0.0132,0.0259,0.0001,0.004
umgang,49,0.0001,0.0172,0.0003,0.0002,0.0053,0.0021,0.0042,0.0003,0.0265,0.0002
handeln,47,0.0103,0.0002,0.0198,0.0002,0.0001,0.0271,0.0086,0.0003,0.0001,0.0033
inhaltsbezogen,46,0.0001,0.0089,0.0032,0.001,0.0032,0.0002,0.0002,0.0003,0.0211,0.0171
methodischdidaktisch,44,0.0001,0.0084,0.0032,0.0102,0.0027,0.0002,0.0003,0.0003,0.0147,0.0172
moralisch,43,0.0001,0.0002,0.0064,0.0002,0.0101,0.0529,0.0119,0.0003,0.0004,0.0002
verändern,43,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0003,0.0384,0.0002
bedeutung,42,0.002,0.0016,0.004,0.0108,0.0001,0.0003,0.0319,0.0111,0.0001,0.0136
form,42,0.0001,0.0002,0.0002,0.0082,0.0079,0.0002,0.0002,0.0003,0.0223,0.0092
nehmen,42,0.0228,0.0037,0.0033,0.0002,0.0028,0.0074,0.0042,0.0051,0.001,0.0002
unterschiedlich,42,0.0118,0.0002,0.0002,0.0002,0.0222,0.0172,0.0091,0.0003,0.0001,0.0002
begriff,41,0.0001,0.0022,0.0063,0.0239,0.0095,0.0002,0.0002,0.0003,0.0124,0.0003
folge,41,0.0001,0.0068,0.0003,0.0002,0.0099,0.0023,0.0034,0.0003,0.0163,0.0139
individualität,41,0.0001,0.0056,0.0002,0.0407,0.0029,0.0002,0.0162,0.0003,0.0002,0.0002
bestimmt,40,0.0001,0.0002,0.0005,0.0082,0.0001,0.0002,0.0002,0.0112,0.0159,0.0192
darstellung,39,0.0001,0.0035,0.0146,0.0102,0.0088,0.0002,0.0002,0.0003,0.0151,0.0004
mindmap,38,0.0001,0.0122,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0258,0.0002
brainstorming,37,0.0001,0.0108,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0259,0.0002
entwickeln,37,0.0001,0.0002,0.0117,0.016,0.0037,0.0168,0.0115,0.0038,0.003,0.0041
wert,37,0.0135,0.0009,0.0002,0.0002,0.0001,0.0119,0.0213,0.0003,0.0001,0.0002
fähigkeit,36,0.0214,0.0025,0.0002,0.0002,0.0001,0.0002,0.0048,0.0003,0.0001,0.0133
freundschaft,33,0.0001,0.0002,0.0558,0.0002,0.0001,0.0002,0.0002,0.0028,0.0001,0.0002
interesse,33,0.0188,0.005,0.0002,0.0002,0.0094,0.0002,0.0002,0.0003,0.0001,0.0002
zusammenhang,32,0.0019,0.0078,0.0054,0.0003,0.0001,0.0027,0.0002,0.0003,0.0205,0.0002
handlung,31,0.0014,0.0004,0.0002,0.0033,0.0076,0.0084,0.0002,0.0292,0.0001,0.0105
klassenstuf,31,0.0001,0.0003,0.0061,0.0002,0.02,0.0002,0.0002,0.0003,0.0125,0.0002
armut,30,0.0001,0.0002,0.0004,0.0327,0.0001,0.0002,0.0128,0.0003,0.0003,0.0002
welt,30,0.0001,0.0196,0.0007,0.0002,0.0029,0.0041,0.016,0.0003,0.002,0.0002
differenzieren,29,0.0001,0.0002,0.0155,0.0002,0.0001,0.0002,0.0002,0.0003,0.0168,0.0002
problem,28,0.0001,0.0002,0.0136,0.0035,0.0001,0.0054,0.0168,0.0128,0.0019,0.0002
relevant,28,0.0001,0.0037,0.0002,0.0109,0.0205,0.0002,0.0002,0.0003,0.0036,0.0002
gesellschaftlich,27,0.0214,0.0031,0.0002,0.0002,0.0001,0.0002,0.0002,0.0003,0.0001,0.0002
kontrollieren,27,0.0001,0.0144,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0107,0.0075
vorstellung,27,0.0009,0.0002,0.0002,0.0032,0.0072,0.0211,0.0174,0.0003,0.0001,0.0002
erfassen,26,0.0114,0.0002,0.0002,0.0002,0.0143,0.0002,0.0002,0.0003,0.0001,0.0004
kultur,26,0.0001,0.0002,0.009,0.0002,0.0028,0.0002,0.0096,0.0003,0.0001,0.0233
wohlstand,26,0.0001,0.0002,0.0015,0.0327,0.0001,0.0002,0.0052,0.0003,0.0003,0.0002
auslösen,25,0.0001,0.0017,0.0002,0.0002,0.0001,0.0002,0.0002,0.0003,0.0234,0.0002
regel,25,0.0001,0.0002,0.0064,0.0002,0.0001,0.0002,0.0002,0.0003,0.0176,0.0018
emotion,24,0.0116,0.0002,0.0002,0.0065,0.0001,0.0002,0.0128,0.0003,0.0001,0.0002
gewissen,24,0.0077,0.0002,0.0002,0.0068,0.0001,0.0147,0.0002,0.0003,0.0001,0.0002
grenze,24,0.0118,0.0032,0.0002,0.0105,0.0001,0.0002,0.0002,0.003,0.0001,0.0002
verantwortung,24,0.0001,0.0003,0.0002,0.0002,0.0001,0.0422,0.0034,0.0003,0.0001,0.0002
vorurteil,24,0.0001,0.0002,0.0002,0.0362,0.0001,0.002,0.0002,0.0003,0.0001,0.0002
hilfe,23,0.0001,0.0135,0.0002,0.0033,0.0003,0.0002,0.0002,0.0003,0.0109,0.0002
person,23,0.0003,0.0044,0.0002,0.0082,0.0192,0.0002,0.0002,0.0003,0.0001,0.0063
persönlich,23,0.0046,0.013,0.0035,0.0002,0.0001,0.0133,0.0002,0.0003,0.0001,0.0002
tier,23,0.0001,0.001,0.0313,0.0002,0.0001,0.0002,0.007,0.0003,0.0001,0.0002
gruppe,22,0.0001,0.0002,0.0002,0.0032,0.0234,0.0002,0.0002,0.0003,0.0018,0.0002
emotional,21,0.0001,0.0048,0.0047,0.0141,0.0001,0.0002,0.0002,0.0181,0.0001,0.0002
individuell,21,0.0001,0.0228,0.0003,0.0002,0.0035,0.0042,0.0002,0.0003,0.0001,0.004
inhalt,21,0.0024,0.0028,0.0002,0.0002,0.0099,0.004,0.0002,0.0193,0.0001,0.0002
wahrnehmen,21,0.0001,0.0002,0.0033,0.0002,0.0156,0.0039,0.0002,0.0003,0.0001,0.0101
betrachten,20,0.0001,0.0027,0.0002,0.0002,0.0001,0.0002,0.0002,0.0003,0.0165,0.0002
formulier,20,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0003,0.0177,0.0002
kognitiv,20,0.0116,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0188,0.0001,0.0002
liebe,20,0.0001,0.0002,0.0204,0.0006,0.0115,0.0002,0.0018,0.0003,0.0001,0.0002
religion,20,0.0027,0.0037,0.0002,0.0002,0.014,0.0002,0.0029,0.0003,0.0001,0.0002
stellen,20,0.0001,0.0036,0.0002,0.007,0.0168,0.0002,0.0002,0.0025,0.0001,0.0002
lernen,19,0.0003,0.0002,0.0002,0.0002,0.0056,0.0002,0.0243,0.0003,0.0001,0.0063
nutzen,19,0.0001,0.0031,0.0007,0.0025,0.0001,0.0002,0.0242,0.0066,0.0001,0.0002
position,19,0.0001,0.0044,0.0018,0.0126,0.013,0.0002,0.0002,0.0003,0.0001,0.0002
verantwortlich,19,0.013,0.0002,0.0002,0.0002,0.0001,0.0057,0.0002,0.0003,0.0001,0.0002
weise,19,0.0013,0.0046,0.0023,0.0002,0.0001,0.0002,0.0002,0.0003,0.0001,0.0211
auftauchend,18,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0003,0.0159,0.0002
