topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,9,0.1313,778,131.7105
2,7,0.1304,653,191.3123
3,1,0.1198,576,69.9342
4,3,0.1069,531,140.4951
5,10,0.1017,474,78.8742
6,6,0.0918,410,70.5401
7,2,0.0857,362,161.1267
8,5,0.0817,311,82.7497
9,4,0.0796,358,145.7038
10,8,0.071,399,197.3337
