term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
nutzen,16,0.0082,0.0012,0.0004,0.0297,0.0009,0.0002,0.0005,0.0002,0.0002,0.0012,0.0005,0.0002
rolle,16,0.0004,0.0189,0.0004,0.0002,0.0007,0.0002,0.0005,0.0002,0.0015,0.001,0.0467,0.0099
aufgeführt,15,0.0004,0.0012,0.0004,0.0308,0.0006,0.0002,0.0005,0.0002,0.0002,0.0011,0.0005,0.0002
bne,15,0.0005,0.0012,0.0515,0.0002,0.0006,0.0002,0.004,0.0002,0.0002,0.0008,0.0006,0.0002
denken,15,0.0004,0.0012,0.0004,0.0036,0.0006,0.0002,0.0005,0.0222,0.0002,0.0008,0.0041,0.0021
einnehmen,15,0.0195,0.0013,0.0004,0.0002,0.0006,0.0089,0.0005,0.0002,0.0092,0.0008,0.0005,0.0003
englisch,15,0.0004,0.0012,0.0005,0.0308,0.0006,0.0002,0.0005,0.0002,0.0002,0.0011,0.0005,0.0002
fachlich,15,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0119,0.0002,0.021,0.0008,0.0005,0.0002
formulieren,15,0.0004,0.0012,0.0004,0.0003,0.0006,0.0327,0.0005,0.0002,0.0002,0.0009,0.0005,0.0056
lernbereich,15,0.0004,0.0012,0.0376,0.0003,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0098,0.0083
toleranz,15,0.0483,0.0012,0.0004,0.0002,0.0006,0.0002,0.0006,0.0002,0.0002,0.0008,0.0005,0.0087
vertiefen,15,0.0004,0.0012,0.0004,0.0308,0.0006,0.0002,0.0005,0.0002,0.0002,0.0011,0.0005,0.0002
erschließen,14,0.0004,0.0338,0.0004,0.0155,0.0006,0.0002,0.0005,0.0002,0.0002,0.0012,0.0005,0.0014
geeignet,14,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0226,0.0153,0.0005,0.0002
geschichte,14,0.0004,0.0253,0.0004,0.0002,0.0006,0.0002,0.0124,0.0096,0.0032,0.0008,0.0006,0.0002
leben,14,0.0004,0.0012,0.0004,0.0189,0.0006,0.0002,0.0005,0.0002,0.0002,0.0162,0.0005,0.0045
lernprozesse,14,0.0004,0.0012,0.0004,0.0002,0.0136,0.0002,0.0006,0.0002,0.02,0.0008,0.0005,0.0002
miteinander,14,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0238,0.0008,0.0005,0.0002
reflexion,14,0.0004,0.0013,0.0004,0.0002,0.0006,0.0002,0.0076,0.0002,0.0212,0.0008,0.0005,0.0003
sozialkompetenz,14,0.0004,0.0596,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0108,0.0009,0.0005,0.0036
spiegel,14,0.0004,0.0012,0.0004,0.0193,0.0006,0.0002,0.0005,0.0002,0.0002,0.0011,0.0005,0.0036
wertvorstellung,14,0.0233,0.0013,0.0004,0.0002,0.0109,0.0002,0.0005,0.0002,0.0085,0.0008,0.0005,0.0036
ziel,14,0.0004,0.0012,0.0004,0.0098,0.0006,0.0002,0.03,0.0002,0.0002,0.0153,0.0005,0.0003
arbeit,13,0.0004,0.0013,0.0004,0.0002,0.0006,0.0002,0.0217,0.0002,0.0085,0.0008,0.0041,0.0043
fragestellung,13,0.0086,0.0012,0.0004,0.0035,0.0006,0.0002,0.0183,0.0002,0.0028,0.0129,0.0007,0.0004
interesse,13,0.0085,0.0012,0.0004,0.0002,0.0092,0.0002,0.0005,0.0002,0.0002,0.0268,0.0005,0.0133
international,13,0.0004,0.0012,0.0336,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0297,0.0004
kontext,13,0.0213,0.0012,0.0004,0.0003,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0086
kultur,13,0.0004,0.0012,0.0004,0.0002,0.0007,0.0002,0.0006,0.0002,0.0215,0.0008,0.0005,0.0015
norm,13,0.0004,0.0012,0.0004,0.0002,0.003,0.0002,0.0005,0.0263,0.0002,0.0009,0.0005,0.0003
wissen,13,0.0157,0.0013,0.0004,0.0002,0.0307,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0004
zunehmend,13,0.0004,0.0012,0.0004,0.0117,0.0006,0.0002,0.0005,0.0212,0.0002,0.0008,0.0005,0.0003
zusammenhang,13,0.0127,0.0012,0.0071,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0009,0.0005,0.0147
angemessen,12,0.0172,0.0012,0.0004,0.0002,0.0006,0.0002,0.0112,0.0002,0.0002,0.0009,0.0005,0.0068
auseinandersetzen,12,0.0066,0.01,0.0004,0.0002,0.0006,0.0248,0.0005,0.0002,0.0002,0.0008,0.0005,0.0043
beziehung,12,0.0004,0.0159,0.0004,0.0002,0.0006,0.0002,0.0005,0.0212,0.0002,0.0008,0.0005,0.0008
