Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
entwickeln,sozialkompetenz,global,setzen,situation,politisch,naturwissenschaftlich,lernen,umgang,politisch,sozial,unterschiedlich
toleranz,umgang,bne,inhalt,urteil,sinn,team,kulturell,lernen,welt,empathie,verschieden
demokratisch,führen,entwicklung,nehmen,lage,kulturell,position,fremdsprachlich,miteinander,position,wahlbereich,medium
freiheitlich,interview,sozial,fremdsprache,position,formulieren,ziel,kompetenzbereiche,geeignet,globalisiert,rolle,fähigkeit
grundordnung,erschließen,lernbereich,sprachlich,wissen,vertreten,fremd,norm,kultur,fähigkeit,politisch,welt
wert,entwickeln,international,sprache,handeln,einflussnahme,arbeiten,wert,wahrnehmung,vertreten,positionieren,methode
empathie,grenze,konflikt,begreifen,sozial,handlungsalternative,perspektive,vernetzt,reflexion,gesellschaftlich,wirtschaft,wahrnehmung
position,möglichkeit,kulturell,phänomen,grundlegend,berücksichtigung,wechseln,denken,auseinandersetzung,wirtschaftlich,international,entwickeln
konzept,zuhören,betrachten,kommunikation,reflektiert,gestaltung,idee,verstehen,fachlich,urteil,mensch,gesellschaft
kritisch,methode,inhaltlich,englisch,vertreten,möglichkeit,thema,beziehung,verstehen,interesse,nachhaltig,empathie
wertvorstellung,anwenden,wechselwirkung,authentisch,vollziehen,auseinandersetzen,ermöglichen,zunehmend,kulturell,inhalt,entwicklung,konflikt
sachverhalt,geschichte,aufgabe,aufgeführt,politisch,sozial,zuhören,prägung,gegenstand,begründen,fähigkeit,wichtig
kontext,gegenwart,regional,vertiefen,methode,berücksichtigen,verantwortung,befähig,zielen,leben,grenze,politisch
interkulturell,vorstellung,aspekt,nutzen,kontroverse,geschlechtsspezifisch,kernaussag,leiten,multilateral,begreifen,möglichkeit,vornehmen
alltag,aktiv,ökonomisch,historisch,stärken,gruppenarbeit,diskussion,aufgabe,unterrichtsinhalte,gestaltung,gesellschaft,sichtweise
einnehmen,gezielt,orientierungsrahme,kulturell,perspektive,differenz,sachbezogen,grundgesetz,lernprozesse,ziel,bezüglich,sozialwissenschaftlich
kenntnis,ethisch,empfehlung,gezielt,natur,verschieden,vergleichend,zugehörigkeit,unterstützen,geeignet,internationalisierung,themenfeld
erfahrung,debatte,zusätzlich,fähigkeit,begründen,konflikt,arbeit,gesellschaftswissenschaftlich,virtuell,anwenden,konzept,zusammenhang
angemessen,rolle,schwerpunkt,spiegel,mensch,auseinandersetzung,fragestellung,zugang,gegenseitig,vollziehen,institution,lernen
handeln,vornehmen,ökologisch,unterschied,sachverhalt,ökonomisch,kooperieren,tolerieren,tolerant,stärken,handeln,interesse
