term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
mensch,24,0.0004,0.0001,0.0003,0.0016,0.0167,0.0001,0.0037,0.0042,0.0001,0.0004
beziehung,23,0.0004,0.0002,0.0001,0.0028,0.0037,0.0001,0.0018,0.0001,0.0258,0.0004
entwickeln,22,0.0004,0.0001,0.0001,0.0001,0.0454,0.0001,0.0046,0.0017,0.0002,0.0004
fähigkeit,22,0.0004,0.0001,0.0001,0.0001,0.0002,0.0101,0.0029,0.0001,0.0263,0.0004
körperlich,22,0.0004,0.0001,0.0001,0.0001,0.0002,0.0101,0.0002,0.0275,0.0001,0.0004
voraussetzung,22,0.0004,0.0001,0.0001,0.002,0.0002,0.0001,0.0002,0.0181,0.0227,0.0004
bezug,21,0.0004,0.0002,0.0001,0.0001,0.0024,0.0001,0.0248,0.0001,0.0001,0.0004
gruppe,21,0.0004,0.0001,0.0001,0.0019,0.0002,0.0001,0.0091,0.0001,0.0227,0.0004
handlung,21,0.003,0.0001,0.0002,0.0151,0.0002,0.0001,0.0002,0.0013,0.0002,0.0004
psychologie,21,0.0007,0.0002,0.0001,0.0001,0.0002,0.0001,0.021,0.005,0.0002,0.0004
rolle,21,0.0109,0.0002,0.0543,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.018
chance,20,0.0004,0.0002,0.0002,0.0117,0.0063,0.0001,0.0002,0.0001,0.0002,0.0004
akzeptieren,19,0.0004,0.0001,0.0001,0.0153,0.0002,0.0001,0.0002,0.0002,0.0001,0.0004
klassenstuf,19,0.0004,0.0001,0.0001,0.0154,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
erläutern,18,0.0007,0.0001,0.0313,0.0031,0.0002,0.0001,0.0002,0.0012,0.0002,0.0059
inhalt,18,0.0061,0.0002,0.0001,0.0001,0.0002,0.0001,0.0353,0.0002,0.0001,0.0004
menschlich,18,0.0061,0.0001,0.0001,0.0001,0.0011,0.0001,0.0131,0.0051,0.0001,0.0004
nehmen,18,0.0004,0.0002,0.0001,0.0001,0.0026,0.0001,0.0019,0.0003,0.0248,0.0004
persönlichkeit,18,0.0004,0.0001,0.0001,0.0001,0.0009,0.0001,0.0226,0.0001,0.0002,0.0004
prozeß,18,0.0288,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0076,0.0002,0.0004
sexuell,18,0.0004,0.0002,0.0073,0.0001,0.0047,0.0001,0.0002,0.0029,0.0001,0.0004
wertvorstellung,18,0.0032,0.0001,0.0001,0.0138,0.0002,0.0001,0.0002,0.0002,0.0001,0.0004
bereich,17,0.0004,0.0002,0.0001,0.0001,0.0002,0.0001,0.0226,0.0039,0.0002,0.0188
formulieren,17,0.0032,0.01,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0153
gedächtnis,17,0.0004,0.0001,0.0001,0.0001,0.0002,0.0002,0.0158,0.0049,0.0001,0.0004
gestaltung,17,0.0004,0.0001,0.0001,0.0001,0.0002,0.0234,0.0002,0.0001,0.004,0.0004
situation,17,0.0004,0.0001,0.0001,0.0128,0.0002,0.0001,0.0002,0.0012,0.0002,0.0004
verhalten,17,0.0167,0.0002,0.0001,0.0001,0.0002,0.0001,0.0018,0.0096,0.0002,0.0004
wissen,17,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0053,0.0022,0.0002,0.0289
zentral,17,0.0041,0.0001,0.0001,0.0001,0.0002,0.0235,0.0002,0.0024,0.0001,0.0004
überzeugung,17,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0226,0.0132
etc,16,0.0004,0.0001,0.0002,0.0128,0.0002,0.0001,0.0002,0.0001,0.0002,0.0004
familie,16,0.0004,0.0001,0.0819,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0004
fördern,16,0.0004,0.0001,0.0001,0.0001,0.0062,0.0105,0.0002,0.0165,0.0001,0.0004
kommunikation,16,0.0283,0.0001,0.0001,0.0001,0.0043,0.0001,0.0035,0.0002,0.0002,0.0004
kultur,16,0.0004,0.0001,0.0001,0.0033,0.0002,0.0227,0.0002,0.0001,0.0002,0.0004
lernprozesse,16,0.0004,0.0001,0.0001,0.0001,0.0002,0.0224,0.0002,0.0045,0.0001,0.0004
weise,16,0.0004,0.0023,0.0001,0.0001,0.0002,0.0238,0.0002,0.0002,0.0001,0.0006
