term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
frieden,84,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0084,0.0
menschenwürde,83,0.0,0.0092,0.0001,0.0,0.0103,0.0,0.0072,0.0,0.0,0.0,0.0009,0.0
funktion,82,0.0,0.0,0.0001,0.0085,0.0,0.0,0.0292,0.0,0.0,0.0,0.0007,0.0
ökonomisch,81,0.0,0.0,0.0039,0.0,0.0257,0.0,0.0,0.0,0.0,0.0,0.0,0.0022
sinn,80,0.0,0.0088,0.0129,0.0,0.0,0.0,0.0,0.0005,0.006,0.0,0.0037,0.0
verhältnis,80,0.0,0.0058,0.0001,0.0019,0.0,0.0114,0.0047,0.0005,0.0001,0.0,0.0031,0.0
strafe,79,0.0,0.0,0.0001,0.0,0.0,0.0039,0.0115,0.001,0.012,0.0,0.0018,0.0
lernen,79,0.0047,0.0,0.0001,0.0027,0.0,0.0,0.0,0.0109,0.0,0.0032,0.0,0.0015
achtung,78,0.0065,0.0,0.0001,0.0,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0
herausforderung,77,0.0009,0.0,0.0025,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0055,0.0
erörtern,77,0.0029,0.0,0.0001,0.0,0.0,0.0,0.0123,0.0,0.0,0.0,0.007,0.0
demokratie,76,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0142,0.0,0.0,0.0023,0.0016
familie,76,0.0,0.0,0.0001,0.0064,0.0,0.0042,0.0072,0.0,0.0177,0.0,0.0,0.0
interpretieren,75,0.0,0.0045,0.0001,0.0027,0.0021,0.0022,0.0008,0.0,0.0,0.0095,0.0024,0.0
religion,73,0.0,0.0,0.0001,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0096,0.0
wirklichkeit,73,0.0,0.0195,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0023,0.0
gestalten,71,0.0,0.0,0.0001,0.0,0.0027,0.0,0.0,0.0,0.0,0.0001,0.0,0.0255
gewalt,71,0.0,0.0097,0.0001,0.0057,0.0,0.0025,0.0018,0.0006,0.0,0.0,0.0024,0.0
armut,71,0.005,0.0,0.0018,0.0132,0.0,0.0,0.0,0.0,0.0013,0.004,0.0033,0.0
kriterium,71,0.0079,0.0,0.0155,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0058
gleichheit,70,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0149,0.0029,0.0055,0.0
