topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_ethik_moralischer_moral ethik_argumentation,0.0203,0.8658,0.0684,0.0076,0.038,0.7912,395,0.3123
0_ethik_recht_gerechtigkeit_glck,0.006,0.976,0.004,0.006,0.008,0.21,501,0.396
1_urteilen_eigene_bewerten_argumentationen,0.0,0.974,0.013,0.0,0.013,0.1998,77,0.0609
2_urteilsbildung_ethischmoralischen_absicht_sollen,0.08,0.8267,0.0,0.0,0.0933,0.8379,75,0.0593
3_religionen_weltanschauungen_religionen weltanschauungen_verantwortung,0.0,1.0,0.0,0.0,0.0,0.0,61,0.0482
4_argumentieren reflektieren_hineinversetzen_wahrnehmen hineinversetzen_analysieren interpretieren,0.0,1.0,0.0,0.0,0.0,0.0,38,0.03
5_erlutern_ethik natur_natur umweltschutzes_umweltschutzes,0.2759,0.7241,0.0,0.0,0.0,0.8498,29,0.0229
6_bercksichtigung_verantwortung_instanz_wesen,0.0,1.0,0.0,0.0,0.0,0.0,28,0.0221
7_dimension_wahrheit_lge_hinblick,0.0,0.96,0.0,0.04,0.0,0.2423,25,0.0198
8_ethik_ethik moral_perspektiven_ethik ethik,0.0,1.0,0.0,0.0,0.0,0.0,21,0.0166
9_regel_herausarbeiten_religisen_ethischen gehalt,0.0,1.0,0.0,0.0,0.0,0.0,15,0.0119
TOTAL,0.0198,0.9296,0.0237,0.0055,0.0213,0.4977,1265,1.0
