,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,ethik,0.0374,ethik,0.0394,urteilen,0.0791,urteilsbildung,0.0432,religionen,0.1047,argumentieren reflektieren,0.1078,erlutern,0.0747,bercksichtigung,0.2336,dimension,0.191,ethik,0.2305,regel,0.1742
1,moralischer,0.0289,recht,0.0328,eigene,0.0693,ethischmoralischen,0.0355,weltanschauungen,0.0897,hineinversetzen,0.1063,ethik natur,0.0693,verantwortung,0.1772,wahrheit,0.189,ethik moral,0.1873,herausarbeiten,0.1223
2,moral ethik,0.0264,gerechtigkeit,0.0321,bewerten,0.0647,absicht,0.034,religionen weltanschauungen,0.0867,wahrnehmen hineinversetzen,0.1063,natur umweltschutzes,0.0693,instanz,0.1534,lge,0.1367,perspektiven,0.0933,religisen,0.1172
3,argumentation,0.0237,glck,0.03,argumentationen,0.0634,sollen,0.0334,verantwortung,0.0434,analysieren interpretieren,0.0999,umweltschutzes,0.0675,wesen,0.1466,hinblick,0.0753,ethik ethik,0.0887,ethischen gehalt,0.1149
4,moralischer argumentation,0.0219,werte normen,0.0279,kulturellen,0.0617,unterrichts,0.0328,ethischmoralische,0.0422,interpretieren,0.0939,umwelt,0.0637,hinblick,0.1389,erfahrungen,0.0688,begriffe,0.0873,helfen,0.1084
5,ethikunterricht,0.0212,moralisch,0.0266,begrndet,0.0595,verschiedenen,0.0317,religion,0.0402,wahrnehmen,0.093,mediennutzung,0.0615,handlung,0.1223,vorstellungen guten,0.0678,vielfltige,0.0767,geltung,0.1025
6,moralisch,0.0211,handlungen,0.0232,zusammenhngen,0.0593,ethisch,0.0313,glck,0.0399,medial,0.0798,gegenber,0.0574,gegenber,0.1206,rechtfertigen,0.0648,philosophie,0.0726,gehalt,0.1014
7,prinzip,0.0206,freiheit,0.0221,positionen,0.0576,themen,0.0287,ethik,0.0396,hineinversetzen analysieren,0.0781,kompetenzerwartungen,0.0573,verantwortlichen,0.1137,dimensionen,0.0647,diskussionen,0.0704,anwenden,0.1003
8,lernen,0.0205,kompetenz,0.0216,argumentativ,0.0562,frage,0.0286,kirche,0.0384,beurteilen entscheiden,0.076,aspekte,0.0569,daher,0.1084,normative,0.0613,verwendung,0.0702,regeln,0.0962
9,gesellschaft,0.0198,unterscheiden,0.0197,entwickeln,0.0546,praktischer absicht,0.0276,welt verantwortung,0.0378,medial vermittelten,0.075,technik,0.0549,grundlage,0.1045,guten lebens,0.0612,kategorisieren,0.0662,erfassen,0.0959
10,verantwortung,0.0194,wert,0.0186,historischen,0.0545,urteilsbildung praktischer,0.0276,glauben,0.0365,vermittelten,0.0745,positionen,0.0547,kern,0.1013,deskriptive,0.0592,prfen,0.0655,anhand,0.0944
11,eigenen,0.0184,gesellschaft,0.0184,wertvorstellungen,0.0519,praktischer,0.026,glaubensgrundstze,0.0365,vermittelten welt,0.0745,entwicklung,0.0528,geschieht,0.099,analyse,0.0535,weise,0.0638,berprfen,0.0935
12,grundlagen,0.0182,perspektive,0.018,religisen zusammenhngen,0.0445,situationen,0.0256,bild,0.0344,interpretieren argumentieren,0.0707,erlutern diskutieren,0.052,mittelpunkt,0.0854,bereiche,0.0514,begriffen,0.0624,religise,0.0829
13,handelns,0.0177,moralischer,0.0177,urteilsfhigkeit,0.0434,entwickeln,0.0253,religisen,0.033,entscheiden,0.0699,ethischmoralischer,0.0519,identitt,0.0819,lebens,0.0512,formen,0.0617,ausgewhlte,0.0707
14,freiheit,0.0174,regeln,0.0174,alltags,0.0413,beispielsweise,0.0252,glauben ethos,0.0327,glck moral,0.0689,verantwortung,0.0473,persnlicher,0.0779,handeln werte,0.05,gesellschaftlich,0.0612,pflicht,0.0677
15,beitrag,0.0173,frage,0.0173,nachvollziehen,0.0398,ethik,0.0239,handelns,0.0322,moral bio,0.0566,relevante,0.0465,ethischmoralischer,0.0778,lgen,0.0499,begriffe ethik,0.0596,gewissen,0.0624
16,orientierung,0.0173,guten,0.0171,urteile,0.0389,historischer,0.0235,ethos,0.0319,glck,0.0561,relevant,0.0422,stehen,0.0761,moralisches handeln,0.0491,texten,0.0585,beispielen,0.0623
17,wirklichkeit,0.0172,grundbegriffe,0.0165,urteil,0.0384,frage problemstellungen,0.0232,mensch natur,0.0314,konfliktregelung,0.0545,daraus,0.0419,gut bse,0.0752,vorstellungen,0.0489,metaethik,0.0585,darstellen,0.0575
18,ethisch,0.0166,norm,0.0159,untersuchen,0.0379,fhigkeit,0.023,religise,0.0311,bio,0.0536,bne,0.0419,ethischer,0.0748,urteils,0.0488,spannungsfeld,0.0563,medien,0.0558
19,erlutern,0.0161,gibt,0.0157,fremden,0.0374,ethikunterrichts,0.0224,toleranz,0.0308,ethischmoralische,0.0528,probleme,0.0401,aspekten,0.0739,selbstbestimmten,0.0488,etc,0.0551,argumentieren reflektieren,0.0483
