subject,-1_ethik_moralischer_moral ethik_argumentation,0_ethik_recht_gerechtigkeit_glck,1_urteilen_eigene_bewerten_argumentationen,2_urteilsbildung_ethischmoralischen_absicht_sollen,3_religionen_weltanschauungen_religionen weltanschauungen_verantwortung,4_argumentieren reflektieren_hineinversetzen_wahrnehmen hineinversetzen_analysieren interpretieren,5_erlutern_ethik natur_natur umweltschutzes_umweltschutzes,6_bercksichtigung_verantwortung_instanz_wesen,7_dimension_wahrheit_lge_hinblick,8_ethik_ethik moral_perspektiven_ethik ethik,9_regel_herausarbeiten_religisen_ethischen gehalt,entropy,subject_total,subject_proportion
Bio,0.32,0.12,0.0,0.24,0.0,0.0,0.32,0.0,0.0,0.0,0.0,1.9133,25,0.0198
"Ethik, Philo",0.2908,0.4158,0.0638,0.0527,0.0519,0.0323,0.0179,0.0238,0.0204,0.0179,0.0128,2.4338,1176,0.9296
Geschichte,0.9,0.0667,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5608,30,0.0237
Psychologie,0.4286,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,1.4488,7,0.0055
Sozialkunde,0.5556,0.1481,0.037,0.2593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5603,27,0.0213
TOTAL,0.3123,0.396,0.0609,0.0593,0.0482,0.03,0.0229,0.0221,0.0198,0.0166,0.0119,2.4363,1265,1.0
