topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,0,0,3,0,7,10
2,2,1,0,0,0,3
3,42,0,0,0,0,42
4,0,1,2,1,4,8
5,0,0,0,0,1,1
6,0,3,0,0,8,11
7,0,0,2,0,21,23
8,2,2,2,1,2,9
9,0,0,0,0,0,0
10,7,0,0,0,0,7
11,0,7,0,0,0,7
12,0,0,4,0,4,8
13,2,0,0,0,1,3
14,10,1,3,0,1,15
15,7,2,0,0,0,9
16,0,0,4,0,3,7
17,0,0,1,0,44,45
18,0,3,11,0,20,34
19,0,0,0,0,1,1
20,0,1,2,0,22,25
