topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,13,0.1397,105,47.4532
2,20,0.124,99,35.5855
3,6,0.1136,89,40.5988
4,7,0.0958,67,41.5253
5,8,0.0892,68,37.5882
6,12,0.0648,51,46.2825
7,5,0.0647,47,55.5639
8,16,0.0636,51,35.8719
9,9,0.034,24,37.9431
10,17,0.0318,24,76.0405
11,1,0.026,20,52.9823
12,11,0.0249,17,40.2319
13,18,0.0216,14,87.5845
14,15,0.0207,14,46.9992
15,19,0.0192,12,70.0294
16,2,0.0177,10,69.2866
17,4,0.0149,11,80.7441
18,3,0.0134,6,51.2653
19,10,0.013,6,59.3349
20,14,0.0073,3,71.7972
